16-12-2021, 105.02842491518454, 48936.86258244155
17-12-2021, 103.62271762011896, 47694.530502251764
18-12-2021, 102.65905586644453, 46328.6963654447
19-12-2021, 107.89023031632705, 46970.057050727024
20-12-2021, 107.85206228968457, 46807.04861642627
21-12-2021, 108.36989471637119, 47117.008204210455
22-12-2021, 112.77367740313996, 49145.21725849885
23-12-2021, 113.80861323749741, 48755.89564404483
24-12-2021, 123.07586579552168, 50900.61494951601
25-12-2021, 122.6244444367282, 50888.72103678683
26-12-2021, 125.21950842766076, 50663.48710213215
27-12-2021, 126.62871166497082, 50852.860259540656
28-12-2021, 124.52603575211273, 50774.067814743
29-12-2021, 116.51668836022867, 47725.14804631933
30-12-2021, 111.4566098464689, 46506.99464767938
31-12-2021, 113.40999530383591, 47191.86838983951
01-1-2022, 112.10412714660387, 46319.65108805251
02-1-2022, 117.50325164920807, 47816.07767640849
03-1-2022, 118.67627739570399, 47387.212167697246
04-1-2022, 119.33726965463333, 46531.140860530526
05-1-2022, 117.398506442357, 45938.02427172366
06-1-2022, 111.75396770497535, 43647.147508068054
07-1-2022, 110.25643815246342, 43216.45867693359
08-1-2022, 103.87991859194653, 41527.197042644846
09-1-2022, 101.67442006903022, 41756.66232397826
10-1-2022, 106.10548540439027, 41862.3609856517
11-1-2022, 103.56267498007992, 41869.85905559219
12-1-2022, 106.90731800936244, 42777.211020482355
13-1-2022, 112.28496842414488, 43981.87732717414
14-1-2022, 107.31716887418355, 42608.41001195019
15-1-2022, 111.09325994114126, 43120.85451108056
16-1-2022, 113.85091901222651, 43226.65026980921
17-1-2022, 114.23136934988362, 43119.79214308028
18-1-2022, 107.30274457726536, 42298.341116872325
19-1-2022, 107.37925651976724, 42395.45879157343
20-1-2022, 105.33120848897495, 41749.55143098559
21-1-2022, 100.9986292093644, 40707.6824143097
22-1-2022, 87.3026670867808, 36508.799789830824
23-1-2022, 80.14977691419256, 35180.435462830384
24-1-2022, 85.34681098944534, 36306.409440464704
25-1-2022, 82.39384259493765, 36774.00714224005
26-1-2022, 82.69065044757834, 36988.928510667356
